DEPTH,CALI,GR,ILD,ITT,LLD,LLS,MSFL,NPHI,RHOB,SFL,SP
1551.5844,14.2598,58.9121,0.9241,0.12445,0.8809,0.9877,1.0383,0.4168,2.2184,1.1403,38.8017
1551.7368,14.045,58.5178,0.9118,0.1244,0.8783,0.9825,1.02825,0.4245,2.2018,1.1514,39.1763
1551.8892,14.1271,58.6084,0.8971,0.12435,0.8718,0.9812,1.0182,0.4325,2.1851,1.1443,40.1506
1552.0416,14.2092,58.9348,0.8792,0.1243,0.8691,0.9814,1.1114,0.433366667,2.1642,1.0928,40.06015
1552.194,14.2913,58.3895,0.8605,0.12425,0.8631,0.9796,1.1662,0.434233333,2.1413,1.0539,39.9697
1552.3464,14.3734,57.8666,0.837,0.1242,0.8558,0.9685,1.1271,0.4351,2.1448,1.0228,39.0414
1552.4988,14.4555,58.101,0.8173,0.1266,0.8403,0.9358,1.1083,0.4257,2.1483,1.01,38.1498
1552.6512,14.0882,57.7994,0.8244,0.1284,0.84005,0.923,1.0951,0.4141,2.1625,1.0023,38.0198
1552.8036,14.2925,56.0436,0.8315,0.1292,0.8398,0.9267,1.0236,0.4166,2.1466,1.00595,38.2679
1552.956,14.5029,56.1543,0.8386,0.1293,0.83955,0.9301,1.0003,0.4108,2.1312,1.0096,38.7747
1553.1084,14.0018,56.265,0.8457,0.13,0.8393,0.9291,0.9926,0.4104,2.1192,1.0205,39.4978
1553.2608,13.96775,57.3008,0.8528,0.1297,0.83905,0.9233,0.9946,0.4278,2.1118,1.0322,39.9276
1553.4132,13.9337,57.954,0.9196,0.1292,0.8388,0.92265,1.0186,0.43285,2.1126,1.0386,39.9231
1553.5656,14.01355,58.2068,0.92106,0.1304,0.8508,0.922,1.1137,0.4379,2.1097,1.0399,39.9186
1553.718,14.0934,58.1383,0.92252,0.129,0.8665,0.9263,1.2149,0.4258,2.1033,1.0386,39.2522
1553.8704,14.17325,57.344,0.92398,0.1284,0.8838,0.9313,1.1859125,0.4287,2.1108,1.034333333,38.4464
1554.0228,14.2531,57.2532,0.92544,0.1278,0.879,0.9479,1.156925,0.4285,2.1494,1.030066667,38.47303333
1554.1752,14.0748,56.0958,0.9269,0.1272,0.8742,0.94889,1.1279375,0.42,2.1947,1.0258,38.49966667
1554.3276,13.9562,53.1785,0.92836,0.1266,0.8694,0.94988,1.09895,0.4137,2.2143,1.021533333,38.5263
1554.48,13.9174,53.87486667,0.92982,0.126,0.8646,0.95087,1.0699625,0.413083333,2.2309,1.017266667,38.55293333
1554.6324,13.99432,54.57123333,0.93128,0.1254,0.8598,0.95186,1.040975,0.412466667,2.2166,1.013,38.57956667
1554.7848,14.07124,55.2676,0.93274,0.1312,0.855,0.95285,1.0119875,0.41185,2.2023,1.010033333,38.6062
1554.9372,14.14816,56.8506,0.9342,0.130066667,0.8502,0.95384,0.983,0.411233333,2.188,1.007066667,39.1863
1555.0896,14.22508,57.7472,0.863,0.128933333,0.8454,0.95483,0.9084,0.410616667,2.1737,1.0041,39.2919
1555.242,14.302,57.6738,0.83,0.1278,0.8086,0.95582,0.8728,0.41,2.1594,1.0557,39.4773
1555.3944,14.863,55.8571,0.8145,0.1286,0.8207,0.95681,0.8673,0.4207,2.1451,1.0504,39.408275
1555.5468,15.0878,56.2167,0.8231,0.1287,0.8492,0.9578,0.8718,0.4167,2.13385,1.0269,39.33925
1555.6992,14.3223,56.3818,0.8473,0.128,0.8785,0.9492,0.8833,0.4019,2.1226,1.0065,39.270225
1555.8516,14.8462,56.0075,0.8646,0.1306,0.878,0.9406,0.8767,0.3961,2.11135,1.0101,39.2012
1556.004,14.7177,54.7043,0.8648,0.1296,0.8441,0.8963,0.8435,0.4018,2.1001,1.0292,39.2687
1556.1564,14.4669,53.1909,0.8597,0.1269,0.7997,0.90155,0.8605,0.4022,2.08885,1.0591,39.1255
1556.3088,14.9955,53.22945,0.8523,0.1269,0.8023,0.9068,0.8742,0.3954,2.0776,1.0923,38.8741
1556.4612,15.1009,53.268,0.8458,0.1266,0.8603,0.9365,0.904,0.4109,2.0669,1.0863,38.86564
1556.6136,15.0009,53.30655,0.8487,0.129,0.9169,0.97,0.943,0.410038462,2.0478,1.0803,38.85718
1556.766,14.9266,53.3451,0.8515,0.1316,0.8678,0.9812,0.8847,0.409176923,2.047433333,1.0428,38.84872
1556.9184,14.7424,54.9891,0.8469,0.1324,0.7948,0.9581,0.8527,0.408315385,2.047066667,0.9987,38.84026
1557.0708,14.3617,52.3335,0.8345,0.1307,0.8067,0.9327,0.8398,0.407453846,2.0467,0.9725,38.8318
1557.2232,14.3089,51.9448,0.8103,0.1284,0.8004,0.9186,0.8467,0.406592308,2.0819,0.9777,39.472
1557.3756,14.5153,51.8143,0.819266667,0.1267,0.7996,0.9184,0.8631,0.405730769,2.1051,1.0011,39.4859
1557.528,14.7881,51.4531,0.828233333,0.1259,0.808,0.9149,0.8662,0.404869231,2.0783,1.0073,39.4998
1557.6804,14.9159,52.0432,0.8372,0.1281,0.8157,0.9096,0.8774,0.404007692,2.0596,1.0044,39.5137
1557.8328,14.709,52.7283,0.846166667,0.132,0.819,0.9051,0.8882,0.403146154,2.0573,0.9952,39.1732
1557.9852,14.8318,54.3698,0.855133333,0.1309,0.811,0.902,0.8878,0.402284615,2.0953,0.9853,38.986
1558.1376,14.83916667,54.63765,0.8641,0.1315,0.8014,0.9015,0.8905,0.401423077,2.0956,0.9794,39.074
